0	0x4929446.9522e-308
0	0x492944-0.043422
0.01	0x4929440.179463
0.02	0x4929440.249712
0.03	0x4929440.389117
0.04	0x4929440.380711
0.05	0x4929440.56632
0.06	0x4929440.525342
0.07	0x4929440.560195
0.08	0x4929440.563892
0.09	0x4929440.478899
0.1	0x4929440.457627
0.11	0x4929440.534692
0.12	0x4929440.517527
0.13	0x4929440.488068
0.14	0x4929440.537322
0.15	0x4929440.743468
0.16	0x4929440.721132
0.17	0x4929440.949562
0.18	0x4929441.06503
0.19	0x4929441.05804
0.2	0x4929441.09315
0.21	0x4929441.15454
0.22	0x4929441.1207
0.23	0x4929441.09127
0.24	0x4929441.10783
0.25	0x4929440.972656
0.26	0x4929440.952577
0.27	0x4929440.912166
0.28	0x4929440.741646
0.29	0x4929440.776686
0.3	0x4929440.793606
0.31	0x4929440.739646
0.32	0x4929440.773185
0.33	0x4929440.808357
0.34	0x4929440.911129
0.35	0x4929440.856137
0.36	0x4929441.01245
0.37	0x4929440.892274
0.38	0x4929440.909935
0.39	0x4929440.793326
0.4	0x4929440.689072
0.41	0x4929440.607501
0.42	0x4929440.388655
0.43	0x4929440.28139
0.44	0x4929440.184953
0.45	0x4929440.19272
0.46	0x492944-0.0202008
0.47	0x492944-0.00703819
0.48	0x492944-0.0582043
0.49	0x4929440.0499957
0.5	0x4929440.0519981
0.51	0x4929440.0645175
0.52	0x492944-0.0345226
0.53	0x492944-0.0384525
0.54	0x492944-0.024482
0.55	0x492944-0.0854463
0.56	0x492944-0.275837
0.57	0x492944-0.311959
0.58	0x492944-0.451737
0.59	0x492944-0.588228
0.6	0x492944-0.720211
0.61	0x492944-0.808041
0.62	0x492944-0.88809
0.63	0x492944-0.887584
0.64	0x492944-0.971962
0.65	0x492944-0.892414
0.66	0x492944-0.904875
0.67	0x492944-0.880558
0.68	0x492944-0.770865
0.69	0x492944-0.831427
0.7	0x492944-0.826959
0.71	0x492944-0.753473
0.72	0x492944-0.752982
0.73	0x492944-0.908024
0.74	0x492944-0.911981
0.75	0x492944-1.06091
0.76	0x492944-1.13211
0.77	0x492944-1.13713
0.78	0x492944-1.20778
0.79	0x492944-1.23201
0.8	0x492944-1.16403
0.81	0x492944-1.07938
0.82	0x492944-0.945258
0.83	0x492944-0.933002
0.84	0x492944-0.862348
0.85	0x492944-0.622988
0.86	0x492944-0.536525
0.87	0x492944-0.57298
0.88	0x492944-0.510827
0.89	0x492944-0.537585
0.9	0x492944-0.47551
0.91	0x492944-0.419663
0.92	0x492944-0.440018
0.93	0x492944-0.5051
0.94	0x492944-0.524071
0.95	0x492944-0.525349
0.96	0x492944-0.412965
0.97	0x492944-0.398101
0.98	0x492944-0.260572
0.99	0x492944-0.20944
1	0x492944-0.0314491
